


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0063, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0023, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


 The epoch is 180, average recall: 0.7586, average precision: 0.8302,average F1: 0.7928, average accuracy: 0.8051, average AUC: 0.8612
Train set: Average loss: 0.0023, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


 The epoch is 190, average recall: 0.7069, average precision: 0.8913,average F1: 0.7885, average accuracy: 0.8136, average AUC: 0.8764
Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0042, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0023, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


 The epoch is 200, average recall: 0.7069, average precision: 0.8723,average F1: 0.7810, average accuracy: 0.8051, average AUC: 0.8928
Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


 The epoch is 210, average recall: 0.7586, average precision: 0.8462,average F1: 0.8000, average accuracy: 0.8136, average AUC: 0.9003
Train set: Average loss: 0.0000, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


